ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,  COORD-COORD1,  COORD-COORD2
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2137,       277.290,       15.9462,            0.,NA,NA,"",       275.846,       17.3576
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2165,       272.816,       16.0906,            0.,NA,NA,"",       275.846,       17.3576
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2170,       328.991,       26.4657,            0.,NA,NA,"",       327.099,       24.2869
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2171,       318.410,       31.6566,            0.,NA,NA,"",       319.108,       25.3945
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2174,       275.986,       21.4471,            0.,NA,NA,"",       275.846,       17.3576
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2175,       265.265,       29.9719,            0.,NA,NA,"",       262.853,       32.0910
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2185,       303.022,       20.2948,            0.,NA,NA,"",       305.797,       21.2801
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2187,       308.065,       19.8899,            0.,NA,NA,"",       305.797,       21.2801
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2190,       313.959,       23.1857,            0.,NA,NA,"",       319.108,       25.3945
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2191,       328.381,       20.8485,            0.,NA,NA,"",       327.099,       24.2869
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2192,       322.032,       23.3678,            0.,NA,NA,"",       323.103,       24.8407
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2195,       260.806,       31.6798,            0.,NA,NA,"",       262.853,       32.0910
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          2197,       306.051,       22.4678,            0.,NA,NA,"",       305.797,       21.2801
